#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_unshield
249   Cf                    63.0
250   Cf                     5.0
251   Cf                    35.0
252   Cf                   233.0
253   Cf                     6.0
254   Cf                 53103.0
255   Cf                     0.0
249   Es                    85.0
250   Es                   265.0
250   Es_isomer            100.0
251   Es                    36.0
253   Es                     1.0
254   Es                    22.0
254   Es_isomer             87.0
255   Es                     0.0
256   Es                     4.0
251   Fm                    40.0
252   Fm                     2.0
253   Fm                    31.0
254   Fm                     4.0
255   Fm                    20.0
256   Fm                 43584.0
257   Fm                    51.0
